Segment_ID,Phrase,clip,ID,clean_text,clean_text2,y,y_pred,confusion
734494, Independence Day and Godzilla this movie is not,4,73449, independence day and godzilla this movie is not,independence day godzilla movie,-1,-1,0
27062825," So even though it, the music dragged you down with a sad part of the movie, it did not bring you back up when it turned around and got happy",25,270628, so even though it the music dragged you down with a sad part of the movie it did not bring you back up when it turned around and got happy,even though music dragged sad part movie bring back turned around got happy,-1,-1,0
24418019, And they did pretty good special effects with the demons and things like that,19,244180, and they did pretty good special effects with the demons and things like that,pretty good special effect demon thing like,1,-1,2
G38DwNDQ8Cc7,"Imagine that you mulled this over, and time after time, said nothing as he filled out more credit applications so he would not have to default on the other debt taken out in your name.",7,G38DwNDQ8Cc,imagine that you mulled this over and time after time said nothing as he filled out more credit applications so he would not have to default on the other debt taken out in your name,imagine mulled time time said nothing filled credit application would default debt taken name,0,0,0
360987," The graphics are bad and everything, the acting",7,36098, the graphics are bad and everything the acting,graphic bad everything acting,-1,-1,0
nKiC9sEP2vM19,The Zhangzidao Scallop fishery has become the first Chinese fishery to enter full assessment for MSC certification.,19,nKiC9sEP2vM,the zhangzidao scallop fishery has become the first chinese fishery to enter full assessment for msc certification,zhangzidao scallop fishery become first chinese fishery enter full assessment msc certification,1,1,0
2106187," (umm) So they team up together and they (umm) try to become a you know, chef together",7,210618, umm so they team up together and they umm try to become a you know chef together,umm team together umm try become know chef together,0,0,0
5933315, I wanted to leave but I couldn't because I was there with a friend and she would not leave and she paid for my ticket so how could I really leave,15,59333, i wanted to leave but i couldnt because i was there with a friend and she would not leave and she paid for my ticket so how could i really leave,wanted leave couldnt friend would leave paid ticket could really leave,-1,-1,0
2715982," As formality, here is my movie ticket",2,271598, as formality here is my movie ticket,formality movie ticket,0,1,1
1268727," But (uhh) it's definitely in the vein of, like, I don't know, I'd I'd (stutter) say it's pretty similar, in some aspects, to a movie like (umm) maybe even, maybe Saw",7,126872, but uhh its definitely in the vein of like i dont know id id stutter say its pretty similar in some aspects to a movie like umm maybe even maybe saw,uhh definitely vein like dont know id id stutter say pretty similar aspect movie like umm maybe even maybe saw,0,-1,1
1583710," But (uhh) yeah for me hilarious, funny",10,15837, but uhh yeah for me hilarious funny,uhh yeah hilarious funny,1,-1,2
19462514, (umm) I really can't recommend anybody buying this film because it's not something you want to watch over,14,194625, umm i really cant recommend anybody buying this film because its not something you want to watch over,umm really cant recommend anybody buying film something want watch,-1,-1,0
2900885, There was nothing really funny about it,5,290088, there was nothing really funny about it,nothing really funny,-1,-1,0
